KINASE GENE,KINASE common name,KIN_ACC_ID,SUBSTRATE common name,SUB_GENE_ID,SUB_ACC_ID,SUBSTRATE GENE,SUB_MOD_RSD,SITE_GRP_ID,SITE_+/-7_AA,Source / support
ABL1,Abl,P00519,Btk,695,Q06187,BTK,Y223,447485,LKKVVALyDyMPMNA,PA2_2023 and PA1_2016
ABL1,Abl,P00519,CASP9,842,P55211,CASP9,Y153,455198,RGNADLAyILSMEPC,PA2_2023 and PA1_2016
ABL1,Abl,P00519,CASP9,842,P55211,CASP9,Y397,286046008,AVSVkGIyKQMPGCF,PA2_2023
ABL1,Abl,P00519,Catalase,847,P04040,CAT,Y231,450444,NANGEAVyCkFHYkT,PA2_2023
ABL1,Abl,P00519,Catalase,847,P04040,CAT,Y386,450445,yRARVANyQRDGPMC,PA2_2023
ABL1,Abl,P00519,caveolin-1,857,Q03135,CAV1,Y14,448422,VDsEGHLytVPIREQ,PA2_2023
ABL1,Abl,P00519,CD19,930,P15391,CD19,Y508,459617,EDMRGILyAAPQLRs,PA2_2023 and PA1_2016
ABL1,Abl,P00519,CDC73,79577,Q6P1J9,CDC73,Y290,3449102,kQPIPAAyNRyDQER,PA2_2023
ABL1,Abl,P00519,CDC73,79577,Q6P1J9,CDC73,Y293,20831311,IPAAyNRyDQERFkG,PA2_2023
ABL1,Abl,P00519,CDC73,79577,Q6P1J9,CDC73,Y315,15402684,KIDTMGTyHGMTLkS,PA2_2023
ABL1,Abl,P00519,p27Kip1,1027,P46527,CDKN1B,Y88,456818,kGsLPEFyyRPPRPP,PA2_2023 and PA1_2016
ABL1,Abl,P00519,p27Kip1,1027,P46527,CDKN1B,Y89,456819,GsLPEFyyRPPRPPK,PA2_2023
ABL1,Abl,P00519,C/EBP-beta,1051,P17676,CEBPB,Y78,9397201,RAIDFsPyLEPLGAP,PA2_2023
ABL1,Abl,P00519,CHCHD2,51142,Q9Y6H1,CHCHD2,Y99,62463400,PARPDITyQEPQGTQ,PA2_2023
ABL1,Abl,P00519,CKMT1A,548596,P12532,CKMT1B,Y153,475235,AsKIRsGyFDErYVL,PA2_2023
ABL1,Abl,P00519,CRK,1398,P46108,CRK,Y221,447951,GGPEPGPyAQPsVNt,PA2_2023 and PA1_2016
ABL1,Abl,P00519,CRK,1398,P46108,CRK,Y239,450357,NLQNGPIyARVIQKR,PA2_2023
ABL1,Abl,P00519,CRK,1398,P46108,CRK,Y251,456549,QKRVPNAyDktALAL,PA2_2023
ABL1,Abl,P00519,CRKL,1399,P46109,CRKL,Y207,447954,IPEPAHAyAQPQttt,PA2_2023
ABL1,Abl,P00519,CTNNB1,1499,P35222,CTNNB1,Y489,462002,QNAVRLHyGLPVVVk,PA2_2023
ABL1,Abl,P00519,CTNNB1,1499,P35222,CTNNB1,Y654,447585,RNEGVAtyAAAVLFR,PA2_2023
ABL1,Abl,P00519,CTNNB1,1499,P35222,CTNNB1,Y86,447584,VADIDGQyAMTRAQR,PA2_2023
ABL1,Abl,P00519,Cortactin,2017,Q14247,CTTN,Y486,447704,yPAEDStyDEYENDL,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,S513,4775486,yPFARHQsAEFtISY,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,S535,1869653012,QkLDLITsDMADyQQ,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,S556,11098235,GTVTRKGsTFRPMDT,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,S657,25735581,GDyQRPHsAQPADRG,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,S693,1869653005,PPTHPGTsDsysAPR,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,S695,1869653004,THPGTsDsysAPRDC,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,S697,1869653010,PGTsDsysAPRDCLT,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y540,1869653009,ITsDMADyQQPLMIG,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y578,3470366,STDAGGHyDCPQRAG,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y589,3782797,QRAGRHEyALPLAPP,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y600,3479143,LAPPEPEyAtPIVER,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y621,3476708,tFsAQsGyRVPGPQP,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y652,2424923,VGAQDGDyQRPHsAQ,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y665,38483937,AQPADRGyDRPKAVs,PA2_2023
ABL1,Abl,P00519,DCBLD1,285761,Q8N8Z6,DCBLD1,Y696,482942,HPGTsDsysAPRDCL,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,S598,4033223,EEtPVRysssEVNHL,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,S599,477979,EtPVRysssEVNHLs,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,S600,4149428,tPVRysssEVNHLsP,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,S618,23097815,TTVLQADsAEyAQPL,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,S760,51390534,PQStQEVsGAGRDGE,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,T593,27447065,kAVDHEEtPVRysss,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,T679,1869653002,ITGPEyAtPIIMDMS,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,T714,15409263,QPPPLVGtyNtLLsR,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,T756,1869653001,VyQVPQStQEVsGAG,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y565,458665,KKkTEGtyDLPyWDR,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y597,4033219,HEEtPVRysssEVNH,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y621,454599,LQADsAEyAQPLVGG,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y649,473121,EEGKEAGyADLDPyN,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y655,478857,GyADLDPyNsPGQEV,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y663,3974132,NsPGQEVyHAyAEPL,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y666,478858,GQEVyHAyAEPLPIT,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y677,475112,LPITGPEyAtPIIMD,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y715,455062,PPPLVGtyNtLLsRt,PA2_2023
ABL1,Abl,P00519,DCBLD2,131566,Q96PD2,DCBLD2,Y750,454600,PAPDELVyQVPQStQ,PA2_2023
ABL1,Abl,P00519,DDB1,1642,Q16531,DDB1,Y182,62873405,APTICFVyQDPQGRH,PA2_2023
ABL1,Abl,P00519,DDB1,1642,Q16531,DDB1,Y718,1243008,HIRtVPLyEsPRkIC,PA2_2023
ABL1,Abl,P00519,DDX5,1655,P17844,DDX5,Y593,470084,NGMNQQAyAyPATAA,PA2_2023
ABL1,Abl,P00519,DRP1,10059,O00429,DNM1L,Y266,297110000,TDSIRDEyAFLQkkY,PA2_2023
ABL1,Abl,P00519,DRP1,10059,O00429,DNM1L,Y368,15569023,CGGARICyIFHETFG,PA2_2023
ABL1,Abl,P00519,DRP1,10059,O00429,DNM1L,Y449,297110001,IIQHCSNySTQELLR,PA2_2023
ABL1,Abl,P00519,EGFR,1956,P00533,EGFR,Y1016,448055,DVVDADEyLIPQQGF,PA2_2023
ABL1,Abl,P00519,EGFR,1956,P00533,EGFR,Y1092,448057,tFLPVPEyINQsVPk,PA2_2023
ABL1,Abl,P00519,EGFR,1956,P00533,EGFR,Y1197,448060,stAENAEyLRVAPQS,PA2_2023
ABL1,Abl,P00519,emerin,2010,P50402,EMD,Y167,449653,AyQsItHyRPVsAsR,PA2_2023
ABL1,Abl,P00519,ERCC6,2074,Q03468,ERCC6,Y932,486324,GANRVVIyDPDWNPS,PA2_2023
ABL1,Abl,P00519,MIG-6,54206,Q9UJM3,ERRFI1,Y394,451607,KKVsstHyyLLPERP,PA2_2023
ABL1,Abl,P00519,MIG-6,54206,Q9UJM3,ERRFI1,Y395,454989,KVsstHyyLLPERPP,PA2_2023
ABL1,Abl,P00519,ER-alpha,2099,P03372,ESR1,Y219,12620700,sIQGHNDyMCPATNQ,PA2_2023
ABL1,Abl,P00519,ER-alpha,2099,P03372,ESR1,Y52,12620701,DssKPAVyNYPEGAA,PA2_2023
ABL1,Abl,P00519,ER-beta,2100,Q92731,ESR2,Y36,34425602,SIYIPSSyVDSHHEY,PA2_2023
ABL1,Abl,P00519,FHL2,2274,Q14192,FHL2,Y176,23106943,ITTGGVtyREQPWHK,PA2_2023
ABL1,Abl,P00519,FHL2,2274,Q14192,FHL2,Y217,1873117006,LNCFCDLyAKkCAGC,PA2_2023
ABL1,Abl,P00519,FHL2,2274,Q14192,FHL2,Y236,25292373,SGLGGTkyIsFEERQ,PA2_2023
ABL1,Abl,P00519,FHL2,2274,Q14192,FHL2,Y97,473390,TDCySNEySSkCQEC,PA2_2023
ABL1,Abl,P00519,FOXA1,3169,P55317,FOXA1,Y429,60189900,QALQYsPyGSTLPAS,PA2_2023
ABL1,Abl,P00519,FOXA1,3169,P55317,FOXA1,Y464,60189901,PAYYQGVySRPVLNT,PA2_2023
ABL1,Abl,P00519,GLO1,2739,Q04760,GLO1,Y136,463450,GIAVPDVysACkRFE,PA2_2023
ABL1,Abl,P00519,GMF-gamma,9535,O60234,GMFG,Y104,33670301,kPEQQMMyAGSkNRL,PA2_2023
ABL1,Abl,P00519,Geminin,51053,O75496,GMNN,Y150,33402208,EVAEHVQyMAELIER,PA2_2023
ABL1,Abl,P00519,GPX1,2876,P07203,GPX1,Y98,455673,EILNSLkyVRPGGGF,PA2_2023 and PA1_2016
ABL1,Abl,P00519,HDAC2,3066,Q92769,HDAC2,Y222,464957,IGAGkGkyYAVNFPM,PA2_2023
ABL1,Abl,P00519,HIPK2,28996,Q9H2X6,HIPK2,Y367,1033356,tyLQsRYyRAPEIIL,PA2_2023
ABL1,Abl,P00519,HRas,3265,P01112,HRAS,Y137,41198101,AQDLARSyGIPYIEt,PA2_2023
ABL1,Abl,P00519,IRF3,3661,Q14653,IRF3,Y292,1867930600,RLGHCHTyWAVSEEL,PA2_2023
ABL1,Abl,P00519,Jun,3725,P05412,JUN,Y170,447687,LHSEPPVyANLSNFN,PA2_2023 and PA1_2016
ABL1,Abl,P00519,JunB,3726,P17275,JUNB,Y173,41655503,PAGPGGVyAGPEPPP,PA2_2023
ABL1,Abl,P00519,JunB,3726,P17275,JUNB,Y182,41655504,GPEPPPVyTNLSSyS,PA2_2023
ABL1,Abl,P00519,JunB,3726,P17275,JUNB,Y188,41655505,VyTNLSSySPASASS,PA2_2023
ABL1,Abl,P00519,Tip60,10524,Q92993,KAT5,Y294,29431804,HPPGNEIyRkGTISF,PA2_2023
ABL1,Abl,P00519,Tip60,10524,Q92993,KAT5,Y44,28132103,ISGRKLFyVHYIDFN,PA2_2023
ABL1,Abl,P00519,Lasp-1,3927,Q14847,LASP1,Y171,451675,IPtsAPVyQQPQQQP,PA2_2023
ABL1,Abl,P00519,galectin-3,3958,P17931,LGALS3,Y107,14823408,AYPATGPyGAPAGPL,PA2_2023
ABL1,Abl,P00519,galectin-3,3958,P17931,LGALS3,Y118,13213700,AGPLIVPyNLPLPGG,PA2_2023
ABL1,Abl,P00519,galectin-3,3958,P17931,LGALS3,Y79,13213701,GAPAPGVyPGPPSGP,PA2_2023
ABL1,ABL1,P00519,TAU,4137,P10636,MAPT,Y711,,DHGAEIVyKsPVVsG,PA1_2016
ABL1,Abl,P00519,MAVS,57506,Q7Z434,MAVS,Y30,63080401,DVVEILPyLPCLTAR,PA2_2023
ABL1,Abl,P00519,MAVS,57506,Q7Z434,MAVS,Y71,63080400,RRPGWVEyFIAALRG,PA2_2023
ABL1,Abl,P00519,MAVS,57506,Q7Z434,MAVS,Y9,25687502,PFAEDkTykyICRNF,PA2_2023
ABL1,Abl,P00519,MDM2,4193,Q00987,MDM2,Y276,465467,sDEDDEVyQVtVyQA,PA2_2023
ABL1,Abl,P00519,MDM2,4193,Q00987,MDM2,Y394,455777,QsQESEDysQPSTSS,PA2_2023 and PA1_2016
ABL1,Abl,P00519,MDM2,4193,Q00987,MDM2,Y405,465468,STSSSIIyssQEDVK,PA2_2023
ABL1,Abl,P00519,MDM4,4194,O15151,MDM4,Y55,6039501,TVKEVMHyLGQYIMV,PA2_2023
ABL1,Abl,P00519,MDM4,4194,O15151,MDM4,Y99,6039500,VkDPsPLyDMLRKNL,PA2_2023
ABL1,Abl,P00519,Met,4233,P08581,MET,Y1349,448472,stFIGEHyVHVNAty,PA2_2023
ABL1,Abl,P00519,Met,4233,P08581,MET,Y1356,448473,yVHVNAtyVNVKCVA,PA2_2023
ABL1,Abl,P00519,MUC1,4582,P15941,MUC1,Y1243,454879,NGGSsLsytNPAVAA,PA2_2023
ABL1,Abl,P00519,Myc,4609,P01106,MYC,Y32,27530806,CDEEENFyQQQQQSE,PA2_2023
ABL1,Abl,P00519,Myc,4609,P01106,MYC,Y74,17553985,sGLCsPSyVAVtPFs,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y1449,4739881,EKEPEVDyRTVTINT,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y1575,15712004,QISEGVEyIHKQGIV,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y1635,15712005,VAPEVINyEPIGYAT,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y231,15712000,NQDDVGVyTCLVVNG,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y464,451414,QEGsIEVyEDAGsHy,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y556,15712002,LNGQPIQyARSTCEA,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y611,462699,KSSRkSEyLLPVAPS,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y792,15712003,QPWHAGQyEILLKNR,PA2_2023
ABL1,Abl,P00519,smMLCK,4638,Q15746,MYLK,Y846,15712001,DGGGSDRyGsLRPGW,PA2_2023
ABL1,Abl,P00519,NCK1,4690,P16333,NCK1,Y105,448953,VDPGERLyDLNMPAy,PA2_2023
ABL1,Abl,P00519,SRC-3,8202,Q9Y6Q9,NCOA3,Y1357,4668109,HPQAASIyQSSEMKG,PA2_2023
ABL1,Abl,P00519,NFAT5,10725,O94916,NFAT5,Y143,12127405,PkRHtVLyIsPPPED,PA2_2023
ABL1,Abl,P00519,IkB-alpha,4792,P25963,NFKBIA,Y305,448799,FtEDELPyDDCVFGG,PA2_2023
ABL1,Abl,P00519,eNOS,4846,P29474,NOS3,Y81,456466,WEVGSITyDTLSAQA,PA2_2023
ABL1,Abl,P00519,NOX5,79400,Q96PH1,NOX5,Y476,1869973807,FHYRPGDyLyLNIPT,PA2_2023
ABL1,Abl,P00519,NOX5,79400,Q96PH1,NOX5,Y478,1869973808,YRPGDyLyLNIPTIA,PA2_2023
ABL1,Abl,P00519,NuMA-1,4926,Q14980,NUMA1,Y1774,449717,VEsLEsLyFtPIPAR,PA2_2023
ABL1,Abl,P00519,FAM105B,90268,Q96BN8,OTULIN,Y56,3560103,AEHEEDMyRAADEIE,PA2_2023
ABL1,Abl,P00519,PDGFRB,5159,P09619,PDGFRB,Y686,7437801,IITEyCRyGDLVDyL,PA2_2023
ABL1,Abl,P00519,PDGFRB,5159,P09619,PDGFRB,Y934,447518,AHAsDEIyEIMQKCW,PA2_2023
ABL1,Abl,P00519,PDGFRB,5159,P09619,PDGFRB,Y970,4833940,GEGYKKKyQQVDEEF,PA2_2023
ABL1,Abl,P00519,PDHA1,5160,P08559,PDHA1,Y301,454753,MsDPGVsyRtREEIQ,PA2_2023
ABL1,Abl,P00519,PDHK1,5163,Q15118,PDK1,Y243,462384,ARRLCDLyyINSPEL,PA2_2023
ABL1,Abl,P00519,BCAP,118788,Q6ZUJ8,PIK3AP1,Y513,3971796,LGQEEDVyHTVDDDE,PA2_2023
ABL1,Abl,P00519,BCAP,118788,Q6ZUJ8,PIK3AP1,Y553,13203803,QLPDNEPyIFKVFAE,PA2_2023
ABL1,Abl,P00519,BCAP,118788,Q6ZUJ8,PIK3AP1,Y570,450912,QERPGNFyVSSEsIR,PA2_2023
ABL1,Abl,P00519,BCAP,118788,Q6ZUJ8,PIK3AP1,Y594,459548,DRPQssIyDPFAGMk,PA2_2023
ABL1,Abl,P00519,BCAP,118788,Q6ZUJ8,PIK3AP1,Y694,450993,AKVEFGVyEsGPRKs,PA2_2023
ABL1,Abl,P00519,PLCG1,5335,P19174,PLCG1,Y1003,3954534,KGKKFLQyNRLQLSR,PA2_2023
ABL1,Abl,P00519,PLCG1,5335,P19174,PLCG1,Y771,448575,IGtAEPdyGALyEGR,PA2_2023
ABL1,Abl,P00519,PLEKHG2,64857,Q9H7P9,PLEKHG2,Y489,23133014,sEPVKDPyVMFPQNA,PA2_2023
ABL1,Abl,P00519,PLK1,5347,P53350,PLK1,Y217,464048,tLCGtPNyIAPEVLs,PA2_2023
ABL1,Abl,P00519,PLK1,5347,P53350,PLK1,Y425,62370600,SDkYGLGyQLCDNSV,PA2_2023
ABL1,Abl,P00519,PLK1,5347,P53350,PLK1,Y445,54066601,DSTRLILyNDGDsLQ,PA2_2023
ABL1,Abl,P00519,PLSCR1,5359,O15162,PLSCR1,Y69,2915403,PVPNQPVyNQPVyNQ,PA2_2023 and PA1_2016
ABL1,Abl,P00519,PLSCR1,5359,O15162,PLSCR1,Y74,464050,PVyNQPVyNQPVGAA,PA2_2023
ABL1,Abl,P00519,PPAR-gamma,5468,P37231,PPARG,Y102,9256871,yDLKLQEyQSAIkVE,PA2_2023
ABL1,Abl,P00519,PPAR-gamma,5468,P37231,PPARG,Y78,36692605,SSISTPHyEDIPFTR,PA2_2023
ABL1,ABL1,P00519,KPCD1,5587,Q15139,PRKD1,Y432,,KEGWMVHyTSKDTLR,PA1_2016
ABL1,Abl,P00519,PRKD1,5587,Q15139,PRKD1,Y463,448648,NDTGsRYyKEIPLSE,PA2_2023 and PA1_2016
ABL1,Abl,P00519,PARK2,5071,O60260,PRKN,Y143,15624700,sPAGRSIyNSFYVYC,PA2_2023
ABL1,Abl,P00519,PSMA7,5688,O14818,PSMA7,Y106,15570108,EDPVTVEyItRyIAS,PA2_2023
ABL1,Abl,P00519,PSMA7,5688,O14818,PSMA7,Y153,456317,QTDPsGtyHAWkANA,PA2_2023
ABL1,ABL1,P00519,PPIP1,9051,O43586,PSTPIP1,Y345,,PERNEGVYTAIAVQE,PA1_2016
ABL1,ABL1,P00519,PTN6,5777,P29350,PTPN6,Y536,,QkGQEsEyGNItyPP,PA1_2016
ABL1,ABL1,P00519,PTN6,5777,P29350,PTPN6,Y564,,sKHkEDVyENLHTkN,PA1_2016
ABL1,Abl,P00519,PXN,5829,P49023,PXN,Y118,448604,VGEEEHVysFPNkQk,PA2_2023
ABL1,Abl,P00519,PXN,5829,P49023,PXN,Y31,448785,FLSEEtPysyPtGNH,PA2_2023
ABL1,Abl,P00519,PYCARD,29108,Q9ULZ3,PYCARD,Y146,465096,kVLTDEQyQAVRAEP,PA2_2023
ABL1,Abl,P00519,RACK1,10399,P63244,RACK1,Y52,464119,LtrDEtNyGIPQRAL,PA2_2023
ABL1,Abl,P00519,RAD51,5888,Q06609,RAD51,Y315,448324,EtRICKIyDSPCLPE,PA2_2023 and PA1_2016
ABL1,Abl,P00519,RAD51,5888,Q06609,RAD51,Y54,449958,HTVEAVAyAPkkELI,PA2_2023 and PA1_2016
ABL1,Abl,P00519,RAD52,5893,P43351,RAD52,Y104,449061,DLNNGKFyVGVCAFV,PA2_2023 and PA1_2016
ABL1,Abl,P00519,RAD9A,5883,Q99638,RAD9A,Y28,447825,SRIGDELyLEPLEDG,PA2_2023 and PA1_2016
ABL1,Abl,P00519,RAPGEF1,2889,Q13905,RAPGEF1,Y504,448393,APIPSVPyAPFAAIL,PA2_2023
ABL1,Abl,P00519,Rb,5925,P06400,RB1,Y805,456752,rIPGGNIyIsPLksP,PA2_2023
ABL1,Abl,P00519,RNPC2,9584,Q14498,RBM39,Y95,3196190,DRRFRGRyrsPysGP,PA2_2023
ABL1,Abl,P00519,RNPC2,9584,Q14498,RBM39,Y99,12244420,RGRyrsPysGPkFNs,PA2_2023
ABL1,Abl,P00519,ROBO1,6091,Q9Y6N7,ROBO1,Y1038,13249800,MLPESTVyGDVDLSN,PA2_2023
ABL1,Abl,P00519,ROBO1,6091,Q9Y6N7,ROBO1,Y1073,465118,PSGQPTPyAtTQLIQ,PA2_2023
ABL1,Abl,P00519,ROBO1,6091,Q9Y6N7,ROBO1,Y1114,465166,QEVAPVQyNIVEQNk,PA2_2023
ABL1,Abl,P00519,RTCB,51493,Q9Y3I0,RTCB,Y306,55380503,AsPEGQDyLkGMAAA,PA2_2023
ABL1,Abl,P00519,RTCB,51493,Q9Y3I0,RTCB,Y316,1876333508,GMAAAGNyAWVNRSS,PA2_2023
ABL1,Abl,P00519,RTCB,51493,Q9Y3I0,RTCB,Y475,1876333510,MEEAPESykNVTDVV,PA2_2023
ABL1,Abl,P00519,SNCA,6622,P37840,SNCA,Y125,448279,VDPDNEAyEMPsEEG,PA2_2023
ABL1,Abl,P00519,SNCA,6622,P37840,SNCA,Y39,3546424,kTkEGVLyVGsKTkE,PA2_2023
ABL1,Abl,P00519,Skip,22938,Q13573,SNW1,Y292,464278,AKLAEALyIADRKAR,PA2_2023
ABL1,Abl,P00519,Skip,22938,Q13573,SNW1,Y430,459532,AGGEDEIyNVyDQAW,PA2_2023
ABL1,Abl,P00519,Skip,22938,Q13573,SNW1,Y433,459533,EDEIyNVyDQAWrGG,PA2_2023
ABL1,Abl,P00519,ArgBP2 iso2,8470,O94875-2,SORBS2,Y164,23083166,PDDDTDMyNTPYTYN,PA2_2023
ABL1,Abl,P00519,ArgBP2 iso2,8470,O94875-2,SORBS2,Y175,7783536,YTYNAGLyNPPYSAQ,PA2_2023
ABL1,Abl,P00519,ArgBP2 iso2,8470,O94875-2,SORBS2,Y50,31834902,AVSPMSYyQRPFSPS,PA2_2023
ABL1,Abl,P00519,ArgBP2 iso2,8470,O94875-2,SORBS2,Y573,11057708,NTKGAEDyPDPPIPH,PA2_2023
ABL1,Abl,P00519,ArgBP2 iso2,8470,O94875-2,SORBS2,Y59,31834901,RPFSPSAySLPASLN,PA2_2023
ABL1,Abl,P00519,SPTLC1,10558,O15269,SPTLC1,Y164,27930808,KTEEAIIySYGFATI,PA2_2023
ABL1,Abl,P00519,SNIP iso5,80725,Q9C0H9-5,SRCIN1,Y264,456703,IYRKEPLyAAFPGSH,PA2_2023
ABL1,Abl,P00519,SNIP iso5,80725,Q9C0H9-5,SRCIN1,Y396,456704,LVKGEGLyADPYGLL,PA2_2023
ABL1,Abl,P00519,MST2,6788,Q13188,STK3,Y81,25528501,MQQCDSPyVVKYYGS,PA2_2023
ABL1,Abl,P00519,MST1,6789,Q13043,STK4,Y433,463558,kIPQDGDyEFLksWt,PA2_2023
ABL1,Abl,P00519,STX17,55014,P56962,STX17,Y157,479165,SQSLTQIyALPEIPQ,PA2_2023
ABL1,Abl,P00519,TBX21,30009,Q9UL17,TBX21,Y220,20583307,SMPGNRLyVHPDSPN,PA2_2023
ABL1,Abl,P00519,TBX21,30009,Q9UL17,TBX21,Y266,20583306,VLQsLHKyQPRLHIV,PA2_2023
ABL1,Abl,P00519,TBX21,30009,Q9UL17,TBX21,Y305,20583305,QFIAVTAyQNAEITQ,PA2_2023
ABL1,Abl,P00519,TOP1,7150,P11387,TOP1,Y268,454026,AkMLDHEyTTkEIFR,PA2_2023
ABL1,Abl,P00519,p63,8626,Q9H3D4,TP63,Y149,452168,SVTAPSPyAQPSSTF,PA2_2023
ABL1,Abl,P00519,p63,8626,Q9H3D4,TP63,Y171,10359107,AIPSNTDyPGPHSFD,PA2_2023
ABL1,Abl,P00519,p63,8626,Q9H3D4,TP63,Y290,10359106,RQSVLVPyEPPQVGT,PA2_2023
ABL1,Abl,P00519,p73,7161,O15350,TP73,Y99,448428,SVPTHSPyAQPSSTF,PA2_2023 and PA1_2016
ABL1,Abl,P00519,TIF1G,51592,Q9UPN9,TRIM33,Y1048,15406627,MMKVVQVyADtQEIN,PA2_2023
ABL1,Abl,P00519,TIF1G,51592,Q9UPN9,TRIM33,Y524,15416086,QHMQQQVyAQKHQQL,PA2_2023
